2024-01-29 15:48:49.163 INFO  [ModuleRegistry-2] - Module INITIALIZING
2024-01-29 15:48:49.169 INFO  [ModuleRegistry-2] - Module INITIALIZED
2024-01-29 15:48:49.172 INFO  [ModuleRegistry-2] - Module STARTING
2024-01-29 15:48:49.234 INFO  [ModuleRegistry-2] - Module STARTED
2024-01-29 15:53:05.032 INFO  [ModuleRegistry-1] - Module INITIALIZING
2024-01-29 15:53:05.121 INFO  [ModuleRegistry-1] - Module INITIALIZED
2024-01-29 15:53:05.138 INFO  [ModuleRegistry-1] - Module STARTING
2024-01-29 15:53:05.182 INFO  [ModuleRegistry-1] - Module STARTED
2024-01-29 15:55:52.254 INFO  [ModuleRegistry-1] - Module INITIALIZING
2024-01-29 15:55:52.286 INFO  [ModuleRegistry-1] - Module INITIALIZED
2024-01-29 15:55:52.291 INFO  [ModuleRegistry-1] - Module STARTING
2024-01-29 15:55:52.323 INFO  [ModuleRegistry-1] - Module STARTED
2024-01-29 16:28:18.644 INFO  [ModuleRegistry-1] - Module INITIALIZING
2024-01-29 16:28:18.725 INFO  [ModuleRegistry-1] - Module INITIALIZED
2024-01-29 16:28:18.740 INFO  [ModuleRegistry-1] - Module STARTING
2024-01-29 16:28:18.758 INFO  [ModuleRegistry-1] - Module STARTED
2024-01-29 16:30:07.861 INFO  [ModuleRegistry-1] - Module INITIALIZING
2024-01-29 16:30:07.888 INFO  [ModuleRegistry-1] - Module INITIALIZED
2024-01-29 16:30:07.889 INFO  [ModuleRegistry-1] - Module STARTING
2024-01-29 16:30:07.891 INFO  [ModuleRegistry-1] - Module STARTED
2024-01-29 16:31:35.133 INFO  [ModuleRegistry-1] - Module INITIALIZING
2024-01-29 16:31:35.153 INFO  [ModuleRegistry-1] - Module INITIALIZED
2024-01-29 16:31:35.163 INFO  [ModuleRegistry-1] - Module STARTING
2024-01-29 16:31:35.190 INFO  [ModuleRegistry-1] - Module STARTED
2024-01-29 16:32:18.736 INFO  [ModuleRegistry-3] - Module INITIALIZING
2024-01-29 16:32:18.803 INFO  [ModuleRegistry-3] - Module INITIALIZED
2024-01-29 16:32:18.805 INFO  [ModuleRegistry-3] - Module STARTING
2024-01-29 16:32:18.831 INFO  [ModuleRegistry-3] - Module STARTED
2024-01-29 16:42:32.766 INFO  [ModuleRegistry-3] - Module INITIALIZING
2024-01-29 16:42:32.781 INFO  [ModuleRegistry-3] - Module INITIALIZED
2024-01-29 16:42:32.785 INFO  [ModuleRegistry-3] - Module STARTING
2024-01-29 16:42:32.839 INFO  [ModuleRegistry-3] - Module STARTED
2024-01-29 16:42:48.620 INFO  [ModuleRegistry-8] - Module STOPPING
2024-01-29 16:42:48.632 INFO  [ModuleRegistry-8] - Module STOPPED
